arquivo_csv,algoritmo,execucoes,tempo_medio,tempo_mediano,desvio_padrao_tempo,tempo_minimo,tempo_maximo
100a600.csv,dp,1403,"0,25","0,12","0,41","0,00077","5,2655"
100a600.csv,bt,1401,"59,9378","2,0441","207,7773","0,00031","2686,1819"
100a600.csv,bb,1401,"5,5856","0,28","19,0143","0,000069","306,0188"
CSV_300itens_aumento_de_peso_e_volume.csv,dp,1080,"1,1365","0,34","3,5977","0,00067","76,7244"
CSV_300itens_aumento_de_peso_e_volume.csv,bt,1080,"0,8","0,079","2,1094","0,00019","31,8471"
CSV_300itens_aumento_de_peso_e_volume.csv,bb,1080,"0,11","0,017","0,26","0,000054","3,6615"
bb_dp_combinacoes_1000_nwp.csv,dp,5900,"0,59","0,31","0,83","0,00057","9,8511"
bb_dp_combinacoes_1000_nwp.csv,bt,0,,,,,
bb_dp_combinacoes_1000_nwp.csv,bb,5900,"11,4042","0,36","42,9055","0,000029","1362,0754"
variacao_total.csv,dp,291,"0,018","0,0049","0,027","0,00076","0,2"
variacao_total.csv,bt,288,"260,0649","0,0025","1168,7385","0,00018","13565,9805"
variacao_total.csv,bb,289,"17,8089","0,00056","70,5008","0,000023","631,1436"
